	Mmus_C57.6T_LVR_BSL_Rep1_B1	Mmus_C57.6T_LVR_BSL_Rep2_B2	Mmus_C57.6T_LVR_BSL_Rep3_B3	Mmus_C57.6T_LVR_FLT_Rep1_F1	Mmus_C57.6T_LVR_FLT_Rep2_F2	Mmus_C57.6T_LVR_FLT_Rep3_F4	Mmus_C57.6T_LVR_GC_Rep1_G2	Mmus_C57.6T_LVR_GC_Rep2_G3	Mmus_C57.6T_LVR_GC_Rep3_G5	Mmus_C57.6J_LVR_FLT_C_Rep1_M25	Mmus_C57.6J_LVR_FLT_C_Rep2_M26	Mmus_C57.6J_LVR_FLT_C_Rep3_M27	Mmus_C57.6J_LVR_FLT_C_Rep4_M28	Mmus_C57.6J_LVR_FLT_C_Rep5_M30	Mmus_C57.6J_LVR_FLT_I_Rep1_M21	Mmus_C57.6J_LVR_FLT_I_Rep2_M22	Mmus_C57.6J_LVR_GC_C_Rep1_M36	Mmus_C57.6J_LVR_GC_C_Rep2_M37	Mmus_C57.6J_LVR_GC_C_Rep3_M38	Mmus_C57.6J_LVR_GC_C_Rep4_M39	Mmus_C57.6J_LVR_GC_C_Rep5_M40	Mmus_C57.6J_LVR_GC_I_Rep1_M31	Mmus_C57.6J_LVR_GC_I_Rep2_M32	Mmus_BAL.TAL_LVR_RR3_BSL_wERCC_Rep1_B2	Mmus_BAL.TAL_LVR_RR3_BSL_wERCC_Rep2_B4	Mmus_BAL.TAL_LVR_RR3_BSL_wERCC_Rep3_B6	Mmus_BAL.TAL_LVR_RR3_BSL_wERCC_Rep4_B7	Mmus_BAL.TAL_LVR_RR3_FLT_wERCC_Rep1_F1	Mmus_BAL.TAL_LVR_RR3_FLT_wERCC_Rep2_F2	Mmus_BAL.TAL_LVR_RR3_FLT_wERCC_Rep3_F3	Mmus_BAL.TAL_LVR_RR3_FLT_wERCC_Rep4_F4	Mmus_BAL.TAL_LVR_RR3_GC_wERCC_Rep1_G1	Mmus_BAL.TAL_LVR_RR3_GC_wERCC_Rep2_G2	Mmus_BAL.TAL_LVR_RR3_GC_wERCC_Rep3_G3	Mmus_BAL.TAL_LVR_RR3_GC_wERCC_Rep4_G5	Mmus_C57.6J_LVR_RR1_BSL_noERCC_Rep1_M4	Mmus_C57.6J_LVR_RR1_BSL_noERCC_Rep2_M5	Mmus_C57.6J_LVR_RR1_BSL_noERCC_Rep3_M7	Mmus_C57.6J_LVR_RR1_BSL_noERCC_Rep4_M8	Mmus_C57.6J_LVR_RR1_BSL_noERCC_Rep5_M10	Mmus_C57.6J_LVR_RR1_BSL_wERCC_Rep1_M4	Mmus_C57.6J_LVR_RR1_BSL_wERCC_Rep2_M5	Mmus_C57.6J_LVR_RR1_BSL_wERCC_Rep3_M7	Mmus_C57.6J_LVR_RR1_BSL_wERCC_Rep4_M8	Mmus_C57.6J_LVR_RR1_BSL_wERCC_Rep5_M10	Mmus_C57.6J_LVR_RR1_FLT_noERCC_Rep1_M25	Mmus_C57.6J_LVR_RR1_FLT_noERCC_Rep2_M26	Mmus_C57.6J_LVR_RR1_FLT_noERCC_Rep3_M28	Mmus_C57.6J_LVR_RR1_FLT_noERCC_Rep4_M29	Mmus_C57.6J_LVR_RR1_FLT_noERCC_Rep5_M30	Mmus_C57.6J_LVR_RR1_FLT_wERCC_Rep1_M25	Mmus_C57.6J_LVR_RR1_FLT_wERCC_Rep2_M26	Mmus_C57.6J_LVR_RR1_FLT_wERCC_Rep3_M28	Mmus_C57.6J_LVR_RR1_FLT_wERCC_Rep4_M29	Mmus_C57.6J_LVR_RR1_FLT_wERCC_Rep5_M30	Mmus_C57.6J_LVR_RR1_GC_noERCC_Rep1_M36	Mmus_C57.6J_LVR_RR1_GC_noERCC_Rep2_M37	Mmus_C57.6J_LVR_RR1_GC_noERCC_Rep3_M38	Mmus_C57.6J_LVR_RR1_GC_noERCC_Rep4_M39	Mmus_C57.6J_LVR_RR1_GC_noERCC_Rep5_M40	Mmus_C57.6J_LVR_RR1_GC_wERCC_Rep1_M36	Mmus_C57.6J_LVR_RR1_GC_wERCC_Rep2_M37	Mmus_C57.6J_LVR_RR1_GC_wERCC_Rep3_M38	Mmus_C57.6J_LVR_RR1_GC_wERCC_Rep4_M39	Mmus_C57.6J_LVR_RR1_GC_wERCC_Rep5_M40	Mmus_C57.6J_LVR_RR1_VIV_noERCC_Rep1_M16	Mmus_C57.6J_LVR_RR1_VIV_noERCC_Rep2_M17	Mmus_C57.6J_LVR_RR1_VIV_noERCC_Rep3_M18	Mmus_C57.6J_LVR_RR1_VIV_noERCC_Rep4_M19	Mmus_C57.6J_LVR_RR1_VIV_noERCC_Rep5_M20	Mmus_C57.6J_LVR_RR1_VIV_wERCC_Rep1_M16	Mmus_C57.6J_LVR_RR1_VIV_wERCC_Rep2_M17	Mmus_C57.6J_LVR_RR1_VIV_wERCC_Rep3_M18	Mmus_C57.6J_LVR_RR1_VIV_wERCC_Rep4_M19	Mmus_C57.6J_LVR_RR1_VIV_wERCC_Rep5_M20	Mmus_BAL.TAL_LVR_BSL_Rep1_B1	Mmus_BAL.TAL_LVR_BSL_Rep2_B2	Mmus_BAL.TAL_LVR_BSL_Rep3_B3	Mmus_BAL.TAL_LVR_BSL_Rep4_B4	Mmus_BAL.TAL_LVR_BSL_Rep5_B6	Mmus_BAL.TAL_LVR_BSL_Rep6_B7	Mmus_BAL.TAL_LVR_FLT_Rep1_F1	Mmus_BAL.TAL_LVR_FLT_Rep2_F2	Mmus_BAL.TAL_LVR_FLT_Rep3_F3	Mmus_BAL.TAL_LVR_FLT_Rep4_F4	Mmus_BAL.TAL_LVR_FLT_Rep5_F5	Mmus_BAL.TAL_LVR_FLT_Rep6_F6	Mmus_BAL.TAL_LVR_GC_Rep1_G1	Mmus_BAL.TAL_LVR_GC_Rep2_G2	Mmus_BAL.TAL_LVR_GC_Rep3_G3	Mmus_BAL.TAL_LVR_GC_Rep4_G5	Mmus_BAL.TAL_LVR_GC_Rep5_G6	Mmus_BAL.TAL_LVR_GC_Rep6_G7
Gnai3	2769.802396	3437.181372	3490.504707	3527.564797	4137.111941	4190.699078	3692.491867	3180.770455	3828.418885	3079.676617	2854.970379	3648.70789	2530.391536	2813.56737	3877.019697	3342.755013	2946.81353	2221.322155	2883.481634	2663.944107	2587.43731	4459.209183	4217.216743	7586.739604	6906.247436	7465.053463	7893.505292	7027.232153	6988.809106	7692.325731	6768.34416	6919.826735	6830.601289	6323.294809	6636.724781	6124.117693	5294.029332	4444.919843	4347.450053	5865.257514	5899.013068	5145.332703	4443.757293	4374.29036	5818.532514	5296.015756	5766.824337	4966.783474	3931.132404	4749.3716	5157.033139	5655.067433	4595.610977	3762.905686	5363.639829	5884.90911	5151.655037	5816.21293	5108.889133	5888.676121	5708.004665	5066.769541	6211.20695	4839.358423	5907.435856	5582.872437	6245.604561	5752.753639	5154.346754	5629.031135	5384.297435	5800.149868	5470.381983	4673.229464	5574.939157	6006.011943	6863.141652	5964.634236	6004.204849	6743.325325	7415.042573	6615.958099	6581.874143	7238.629053	6077.983155	5634.122542	5787.416233	6144.738636	6253.57959	5530.264815	5713.955875	6230.608221	6690.25832
Cdc45	43.29998703	48.2322349	57.89936718	60.577191	58.88589989	47.04245925	67.87668873	67.15390322	65.13378065	29.44710709	24.21331856	31.22366165	28.04867894	39.04343272	51.05454586	30.75565279	28.20955515	21.29743197	58.71342693	19.20274258	42.13443436	55.853331	50.3995541	46.02894791	50.48681009	87.84197623	31.61138007	24.91421448	42.0368781	26.39837241	40.00930979	27.53885876	46.12058507	29.59789744	30.70477499	29.27488797	50.46075616	46.33635166	34.0599743	44.23479624	19.79534586	39.59892534	39.71896043	22.95751905	71.18570426	60.18199722	42.36850534	46.08183048	69.92983204	36.62754447	51.72550791	48.52533111	51.89430043	55.63829419	46.80590888	33.43104767	32.35302564	53.30222092	19.24554061	37.21357508	36.32166486	38.35370727	53.20417113	41.67524699	59.34063062	73.76099692	62.72965368	37.45569202	50.98885196	101.0977311	75.51506479	67.95154657	56.00822184	49.94440542	123.6719865	24.36345592	62.78671228	44.28945518	58.81532877	97.80810302	33.35963925	57.73087346	79.64513726	31.96405492	49.35597893	45.65198107	31.57729379	18.58067535	64.2159671	35.12639155	22.51435577	32.8555563	22.58141808
H19	48.88708213	46.96296556	66.17070535	56.35087535	24.1583179	33.97510946	35.29587814	36.15979404	38.59779594	24.53925591	41.82300478	40.14470784	16.02781654	7.320643634	2411.02488	55.74462069	32.54948671	25.55691837	14.67835673	50.62541226	44.04963592	33.2100887	12843.71339	17.5348373	24.95325096	37.10566237	13.65036867	7.830181694	105.44844	8.799457471	8.6173898	13.76942938	23.29802751	34.33356103	8.237866462	14.16526837	9.57014341	5.897353848	22.70664953	24.19090419	11.18867375	5.055181958	13.50444655	31.78733407	14.38095035	11.50538182	21.18425267	7.540663169	13.98596641	7.325508894	10.34510158	23.64054593	10.37886009	9.761104244	11.89980734	12.53664288	8.276355397	8.62241809	25.66072081	23.81668805	19.8118172	13.87261752	6.840536288	20.8376235	20.54098752	16.70060308	8.008040895	10.28195467	6.261788837	12.82583156	15.39627535	9.707363795	9.580353736	8.813718603	12.12470456	12.60178754	15.69667807	15.40502789	26.88700744	46.73053811	16.10465343	4.32981551	86.01674824	4.917546911	11.31074517	6.680777717	11.40291164	14.20875174	28.14946503	34.26965029	6.566687099	31.36212192	11.29070904
Scml2	0	0	1.378556361	5.635087535	0	1.306734979	0	0	0	0	0	4.460523093	6.010431202	7.320643634	5.209647537	1.9222283	4.339931562	2.129743197	0	1.745703871	1.915201562	1.509549486	2.724300222	8.767418649	6.383389782	15.14516832	5.747523649	5.694677596	9.97485243	6.399605434	3.693167057	6.88471469	11.41127878	2.367831795	3.744484755	1.88870245	0.8700130373	0	0.8733326743	4.147012147	1.721334423	0	3.177516834	1.765963004	2.876190071	8.850293709	10.59212633	4.189257316	7.530904989	4.883672596	3.448367194	19.90782815	2.965388596	0	3.173281958	8.357761918	1.50479189	0.78385619	5.613282677	2.977086007	12.10722162	0.8160363249	6.840536288	0.7185387413	0	4.871009231	4.004020448	3.672126669	3.57816505	7.544606801	9.531027595	10.51631078	1.473900575	2.937906201	9.699763649	8.401191695	2.770002012	8.665328188	13.44350372	10.867567	1.150332388	8.659631019	8.495481308	3.688160183	8.225996488	7.79424067	1.754294099	9.836828126	3.518683129	0.8567412572	0	11.94747502	10.26428095
Apoh	77391.04456	72123.69168	74899.72423	65571.28733	78224.63338	77029.41355	78389.43028	75027.69838	58987.08165	80373.42488	69525.24242	110730.2555	76927.50896	85666.17181	72548.50967	110481.9937	104514.2319	85336.68017	88681.7386	90771.36418	94214.51044	82697.64951	85004.97766	85919.24152	67615.76611	57279.02657	83759.38058	86079.32287	81373.42114	80114.26057	84768.03241	83523.29321	85419.60277	86347.72208	92434.85288	69855.5488	73677.92408	68383.18778	65329.6507	69055.35511	71518.00261	76275.95551	67819.33055	67032.4237	70738.4567	60357.23304	57257.50425	56615.29907	58380.65132	64929.24111	60671.4345	58173.16233	57060.00737	58967.80685	60489.10068	74211.70223	79520.72745	73246.65782	74307.83417	88116.5359	74733.47643	78644.68478	71995.12431	75682.96708	89325.14697	62993.28309	66778.38569	71274.50979	66735.46181	62970.30621	66151.92991	70030.54031	75614.04729	68287.71244	63046.03878	85729.96065	87099.94327	71735.43799	67186.4305	57081.89568	83174.78332	86464.97246	81018.21943	80818.65409	85584.29571	70182.68339	62517.77881	86349.86326	88510.71476	88094.41977	89595.87878	69544.75864	75776.05408
Narf	1818.599455	1742.706803	1418.534496	2187.822735	2950.334574	3093.041696	2138.115695	1903.554872	1637.993965	925.1299478	365.4009891	635.6245408	585.0153037	917.5206688	956.4912878	1234.070568	1089.322822	1316.181296	1210.148966	942.6800903	1436.401171	1464.263002	1499.727272	2823.108805	2961.892859	2112.75098	2276.019365	2909.268417	3261.064255	1631.899386	1984.461765	2751.820462	2669.288295	1397.020759	1547.969998	2053.963914	1604.304041	1434.741943	1705.618713	1669.172389	2072.486645	1610.075454	1350.444655	1681.19678	1627.92358	1865.641914	827.362757	1119.369555	1664.330003	1584.751757	1938.844455	900.8292237	1143.898651	1623.271636	1457.329739	2053.919991	2610.81393	2057.622499	1950.214781	3165.386697	2028.509949	2511.759808	2170.730182	1851.674336	3068.975691	2136.981335	2307.650451	2319.315204	2359.79985	2230.940231	2134.950181	2448.682517	2390.666732	2415.938199	2289.952535	3362.997036	2968.518823	3236.018671	2942.446877	2101.787458	2307.56677	2903.862935	3227.220962	1653.525149	1924.883178	1439.707598	1269.231781	2686.547059	2728.738766	1406.769144	1418.404413	1364.999021	1434.946476
Cav2	160.6289842	142.158166	170.9409888	157.782451	129.8509587	147.6610526	133.0383099	153.6791247	151.9788215	98.15702364	121.0665928	89.21046186	54.09388082	46.36407635	327.1658653	86.50027348	134.5378784	59.63280952	109.2722112	104.7422323	95.7600781	215.8655766	321.4674261	288.5941972	373.1381481	396.0461515	334.7932526	223.5160956	248.6588213	218.3865354	164.345934	252.6690291	270.0669311	192.3863334	250.8804786	220.9781866	220.1132984	146.5913671	124.0132398	290.982019	187.6254521	174.4037776	185.8847348	118.3195213	335.7951908	132.7544056	222.434653	132.3805312	89.2950163	112.3244697	130.1758616	174.1934963	129.7357511	98.58715287	142.7976881	171.3341193	158.7555444	219.4797332	166.7946852	206.9074775	203.6214545	137.0941026	213.5767441	132.9296671	160.5240136	227.5457169	190.858308	170.3866774	172.6464637	218.0391366	172.2916527	179.5862302	165.0768644	136.1229873	213.3948003	193.227409	220.676827	276.3276878	205.8536507	385.7986286	300.2367533	176.0791641	236.8115415	158.5908879	130.5876942	213.784887	221.9182035	160.6681927	214.6396708	129.3679298	171.6719627	195.6399034	316.1398531
Klf6	518.2030706	563.5555868	376.3458867	593.0929631	394.0825608	495.2525571	492.7847602	537.2312258	715.265406	777.8944123	876.0818896	758.2889258	797.3838729	614.9340653	1244.063832	557.4462069	846.2866545	596.3280952	737.1796937	708.7557716	664.574942	621.9343884	1086.995788	826.3292077	761.9446167	976.8633564	813.2745964	655.5997582	814.375452	1081.533318	918.3675416	609.2972501	796.8876348	1130.047724	903.91862	513.7270663	595.9589306	577.098198	556.3129135	646.933895	469.0636303	601.566653	508.4026935	607.4912733	657.9284787	741.6546128	769.6945136	764.1205345	440.0200201	669.8770911	750.8819565	716.6818133	711.6932631	449.0107952	764.7609518	948.6059777	740.3576101	783.85619	786.6614722	695.1495826	991.6915163	711.5836753	835.3054867	745.8432135	750.1264333	812.7626831	597.2663834	765.2711978	566.2446192	670.7155446	747.0859322	627.7428587	752.4262434	581.7054278	624.0181281	719.1420091	622.3271188	744.2554099	645.2881786	920.4829251	761.5200409	736.0686366	715.7443002	1010.55589	849.3341374	831.7568258	890.3042553	529.002757	657.1140743	1012.668166	780.4976667	991.6404264	884.7810175
Scmh1	340.8128012	398.5505726	354.2889849	505.7491063	427.3002479	444.2898929	414.0478012	388.717786	446.2870156	336.187806	334.5840383	314.4668781	398.6919364	358.7115381	509.5035291	438.2680523	321.1549356	310.9425068	293.5671347	328.1923277	277.7042265	487.5844841	542.1357441	241.8346311	199.0456996	268.8267376	224.1534223	240.6001284	219.4467535	265.5836255	273.9098901	289.158017	258.6556523	294.7950585	299.5587804	286.1384211	237.5135592	280.5455473	361.5597272	212.1887882	296.930188	238.4360824	287.5652735	316.9903592	207.8047326	346.9315134	281.2797993	372.0060497	489.5088243	370.3451719	326.7327916	342.1657963	361.0360616	406.0619366	341.1278105	274.761423	303.9679619	265.7272484	304.7210596	240.399695	244.3457454	260.3155876	279.7019282	284.5413416	219.8646442	289.47712	258.2593189	262.9242695	324.7184783	275.3781483	288.1302957	268.5703983	248.3522469	361.3624627	261.8936185	252.0357509	223.446829	240.7035608	264.6689795	280.3832287	216.262489	251.1292996	293.0941051	302.429135	252.949392	307.315775	371.910349	280.8960921	277.9759672	313.5673001	307.6961955	314.3679364	309.9812846
Cox5a	4668.017957	3706.266472	4527.179091	3381.052521	5172.899821	4881.961882	3912.412338	3893.634966	3271.163206	6151.991456	5353.344612	9552.210204	5617.749697	6063.933144	4455.290574	7360.212159	9582.568888	6659.706978	7079.860731	6953.138518	5919.888028	4738.475838	6663.638342	5739.006124	4149.203358	4345.14879	5529.836191	5276.118792	4961.064105	5708.448047	4449.650776	5009.318409	3857.487697	3831.743803	4787.698208	4691.536885	4393.565838	3793.683482	3599.003951	5104.971953	4602.848247	4447.717593	3868.626746	3668.78814	5110.989756	3264.873349	3408.310874	2604.042348	2459.378401	3116.597062	3478.540407	3380.598067	2689.607457	2281.170062	2646.517153	4266.637459	3712.321594	3717.046053	2985.464486	3931.986343	4241.930193	3631.361646	3964.470809	3119.176676	4005.492567	3431.278074	3608.28976	3285.818943	3432.354824	3469.764668	3419.439439	3700.932447	3334.70005	3527.446045	3531.522282	4839.926536	5540.927359	4761.116432	4127.995861	4145.976811	5211.005718	4712.282546	4706.496644	5620.756119	4229.190444	3760.164392	4006.807723	4764.303756	3786.982717	3797.077252	4482.232994	4345.894037	5101.34763
