Triangulum Task,Triangulum ID,H&E File ID,GLDS,SAMPLE ID,NASA ID,Study,Group,ORO Positivity (%),Dissection,Strain ,Age at launch (weeks),Duration (days),Library prep,Notes
17-573,1,G1 GL1-3 HE,137,Mmus_BAL-TAL_LVR_GC_Rep1_G1,G1,RR-3,Ground,9.65,Frozen carcass,BALB/cT,12,42,ribo-depleted,
17-573,2,G1 GL1-3 HE,137,Mmus_BAL-TAL_LVR_GC_Rep2_G2,G2,RR-3,Ground,6.68,Frozen carcass,BALB/cT,12,42,ribo-depleted,
17-573,3,G1 GL1-3 HE,137,Mmus_BAL-TAL_LVR_GC_Rep3_G3,G3,RR-3,Ground,21.84,Frozen carcass,BALB/cT,12,42,ribo-depleted,
17-573,4,G1 GL4-6 HE,137,Mmus_BAL-TAL_LVR_GC_Rep6_G7,G7,RR-3,Ground,13.86,Frozen carcass,BALB/cT,12,42,ribo-depleted,
17-573,5,G1 GL4-6 HE,137,Mmus_BAL-TAL_LVR_GC_Rep4_G5,G5,RR-3,Ground,3.82,Frozen carcass,BALB/cT,12,42,ribo-depleted,
17-573,6,G1 GL4-6 HE,137,Mmus_BAL-TAL_LVR_GC_Rep5_G6,G6,RR-3,Ground,12.98,Frozen carcass,BALB/cT,12,42,ribo-depleted,
17-573,7,G2 GL7-9 HE,137,Mmus_BAL-TAL_LVR_FLT_Rep1_F1,F1,RR-3,Flight,21.68,Frozen carcass,BALB/cT,12,42,ribo-depleted,
17-573,8,G2 GL7-9 HE,137,Mmus_BAL-TAL_LVR_FLT_Rep2_F2,F2,RR-3,Flight,21.92,Frozen carcass,BALB/cT,12,42,ribo-depleted,
17-573,9,G2 GL7-9 HE,137,Mmus_BAL-TAL_LVR_FLT_Rep3_F3,F3,RR-3,Flight,21.94,Frozen carcass,BALB/cT,12,42,ribo-depleted,
17-573,10,G2 GL10-12 HE,137,Mmus_BAL-TAL_LVR_FLT_Rep4_F4,F4,RR-3,Flight,13.62,Frozen carcass,BALB/cT,12,42,ribo-depleted,
17-573,11,G2 GL10-12 HE,137,Mmus_BAL-TAL_LVR_FLT_Rep5_F5,F5,RR-3,Flight,13.52,Frozen carcass,BALB/cT,12,42,ribo-depleted,
17-573,12,G2 GL10-12 HE,137,Mmus_BAL-TAL_LVR_FLT_Rep6_F6,F6,RR-3,Flight,15.6,Frozen carcass,BALB/cT,12,42,ribo-depleted,
17-573,13,G3 GL13-15 HE,137,Mmus_BAL-TAL_LVR_BSL_Rep1_B1,B1,RR-3,Basal,22.18,Frozen carcass,BALB/cT,12,42,ribo-depleted,
17-573,14,G3 GL13-15 HE,137,Mmus_BAL-TAL_LVR_BSL_Rep2_B2,B2,RR-3,Basal,22.13,Frozen carcass,BALB/cT,12,42,ribo-depleted,
17-573,15,G3 GL13-15 HE,137,Mmus_BAL-TAL_LVR_BSL_Rep3_B3,B3,RR-3,Basal,15.03,Frozen carcass,BALB/cT,12,42,ribo-depleted,
17-573,16,G3 GL16-18 HE,137,Mmus_BAL-TAL_LVR_BSL_Rep4_B4,B4,RR-3,Basal,18.58,Frozen carcass,BALB/cT,12,42,ribo-depleted,
17-573,17,G3 GL16-18 HE,137,Mmus_BAL-TAL_LVR_BSL_Rep5_B6,B6,RR-3,Basal,7.61,Frozen carcass,BALB/cT,12,42,ribo-depleted,
17-573,18,G3 GL16-18 HE,137,Mmus_BAL-TAL_LVR_BSL_Rep6_B7,B7,RR-3,Basal,18.7,Frozen carcass,BALB/cT,12,42,ribo-depleted,
17-573,19,G4 GL19-21 HE,,,G1,CASIS,Ground,12.02,Immediate,C57BL/6T,32,21,polyA,
17-573,20,G4 GL19-21 HE,47,Mmus_C57-6T_LVR_GC_Rep1_G2,G2,CASIS,Ground,14.49,Immediate,C57BL/6T,32,21,polyA,
17-573,21,G4 GL19-21 HE,47,Mmus_C57-6T_LVR_GC_Rep2_G3,G3,CASIS,Ground,13.96,Immediate,C57BL/6T,32,21,polyA,
17-573,22,G4 GL22-23 HE,,,G4,CASIS,Ground,16.34,Immediate,C57BL/6T,32,21,polyA,
17-573,23,G4 GL22-23 HE,47,Mmus_C57-6T_LVR_GC_Rep3_G5,G5,CASIS,Ground,17.35,Immediate,C57BL/6T,32,21,polyA,
17-573,24,G5 GL24-26 HE,47,Mmus_C57-6T_LVR_FLT_Rep1_F1,F1,CASIS,Flight,23.56,Immediate,C57BL/6T,32,21,polyA,
17-573,25,G5 GL24-26 HE,47,Mmus_C57-6T_LVR_FLT_Rep2_F2,F2,CASIS,Flight,25.56,Immediate,C57BL/6T,32,21,polyA,
17-573,26,G5 GL24-26 HE,,,F3,CASIS,Flight,20.57,Immediate,C57BL/6T,32,21,polyA,
17-573,27,G5 GL27-28 HE,47,Mmus_C57-6T_LVR_FLT_Rep3_F4,F4,CASIS,Flight,16.28,Immediate,C57BL/6T,32,21,polyA,
17-573,28,G5 GL27-28 HE,,,F5,CASIS,Flight,17.43,Immediate,C57BL/6T,32,21,polyA,
17-573,29,G6 GL29-31 HE,47,Mmus_C57-6T_LVR_BSL_Rep1_B1,B1,CASIS,Basal,23.8,Immediate,C57BL/6T,32,21,polyA,
17-573,30,G6 GL29-31 HE,47,Mmus_C57-6T_LVR_BSL_Rep2_B2,B2,CASIS,Basal,19.79,Immediate,C57BL/6T,32,21,polyA,
17-573,31,G6 GL29-31 HE,47,Mmus_C57-6T_LVR_BSL_Rep3_B3,B3,CASIS,Basal,17.44,Immediate,C57BL/6T,32,21,polyA,
17-573,32,G6 GL32-33 HE,,,B4,CASIS,Basal,2.06,Immediate,C57BL/6T,32,21,polyA,
17-573,33,G6 GL32-33 HE,,,B5,CASIS,Basal,4.23,Immediate,C57BL/6T,32,21,polyA,
17-317,1,17-317.1 HE G1 1-2-3,168,Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep1_M4,M4,RR1,Basal,10.41,Frozen carcass,C57BL/6T,16,37,ribo-depleted,
17-317,2,17-317.1 HE G1 1-2-3,168,Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep2_M5,M5,RR1,Basal,22.29,Frozen carcass,C57BL/6T,16,37,ribo-depleted,
17-317,3,17-317.1 HE G1 1-2-3,168,Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep3_M7,M7,RR1,Basal,2.09,Frozen carcass,C57BL/6T,16,37,ribo-depleted,
17-317,4,17-317.1 HE G1 4-5,168,Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep4_M8,M8,RR1,Basal,8.36,Frozen carcass,C57BL/6T,16,37,ribo-depleted,
17-317,5,17-317.1 HE G1 4-5,168,Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep5_M10,M10,RR1,Basal,3.3,Frozen carcass,C57BL/6T,16,37,ribo-depleted,
17-317,6,17-317.1 HE G2 6-7-8,168,Mmus_C57-6J_LVR_RR1_VIV_noERCC_Rep1_M16,M16,RR1,Vivarium,16.97,Frozen carcass,C57BL/6T,16,37,ribo-depleted,
17-317,7,17-317.1 HE G2 6-7-8,168,Mmus_C57-6J_LVR_RR1_VIV_noERCC_Rep2_M17,M17,RR1,Vivarium,14.98,Frozen carcass,C57BL/6T,16,37,ribo-depleted,
17-317,8,17-317.1 HE G2 6-7-8,168,Mmus_C57-6J_LVR_RR1_VIV_noERCC_Rep3_M18,M18,RR1,Vivarium,13.07,Frozen carcass,C57BL/6T,16,37,ribo-depleted,
17-317,9,17-317.1 HE G2 9-10,168,Mmus_C57-6J_LVR_RR1_VIV_noERCC_Rep4_M19,M19,RR1,Vivarium,1.44,Frozen carcass,C57BL/6T,16,37,ribo-depleted,
17-317,10,17-317.1 HE G2 9-10,168,Mmus_C57-6J_LVR_RR1_VIV_noERCC_Rep5_M20,M20,RR1,Vivarium,7.89,Frozen carcass,C57BL/6T,16,37,ribo-depleted,
17-317,11,17-317.1 HE G3 11-12-13,48,Mmus_C57-6J_LVR_GC_C_Rep1_M36,M36,RR1,Ground,3.82,Frozen carcass,C57BL/6T,16,37,polyA,
17-317,12,17-317.1 HE G3 11-12-13,48,Mmus_C57-6J_LVR_GC_C_Rep2_M37,M37,RR1,Ground,4.79,Frozen carcass,C57BL/6T,16,37,polyA,
17-317,13,17-317.1 HE G3 11-12-13,48,Mmus_C57-6J_LVR_GC_C_Rep3_M38,M38,RR1,Ground,11.66,Frozen carcass,C57BL/6T,16,37,polyA,
