sample,dataset,condition,library,oro_percent_positivity
Mmus_BAL.TAL_LVR_BSL_Rep1_B1,GLDS137,basal,ribodeplete,22.18
Mmus_BAL.TAL_LVR_BSL_Rep2_B2,GLDS137,basal,ribodeplete,22.13
Mmus_BAL.TAL_LVR_BSL_Rep3_B3,GLDS137,basal,ribodeplete,15.03
Mmus_BAL.TAL_LVR_BSL_Rep4_B4,GLDS137,basal,ribodeplete,18.58
Mmus_BAL.TAL_LVR_BSL_Rep5_B6,GLDS137,basal,ribodeplete,7.61
Mmus_BAL.TAL_LVR_BSL_Rep6_B7,GLDS137,basal,ribodeplete,18.7
Mmus_BAL.TAL_LVR_FLT_Rep1_F1,GLDS137,flight,ribodeplete,21.68
Mmus_BAL.TAL_LVR_FLT_Rep2_F2,GLDS137,flight,ribodeplete,21.92
Mmus_BAL.TAL_LVR_FLT_Rep3_F3,GLDS137,flight,ribodeplete,21.94
Mmus_BAL.TAL_LVR_FLT_Rep4_F4,GLDS137,flight,ribodeplete,13.62
Mmus_BAL.TAL_LVR_FLT_Rep5_F5,GLDS137,flight,ribodeplete,13.52
Mmus_BAL.TAL_LVR_FLT_Rep6_F6,GLDS137,flight,ribodeplete,15.6
Mmus_BAL.TAL_LVR_GC_Rep1_G1,GLDS137,ground,ribodeplete,9.65
Mmus_BAL.TAL_LVR_GC_Rep2_G2,GLDS137,ground,ribodeplete,6.68
Mmus_BAL.TAL_LVR_GC_Rep3_G3,GLDS137,ground,ribodeplete,21.84
Mmus_BAL.TAL_LVR_GC_Rep4_G5,GLDS137,ground,ribodeplete,3.82
Mmus_BAL.TAL_LVR_GC_Rep5_G6,GLDS137,ground,ribodeplete,12.98
Mmus_BAL.TAL_LVR_GC_Rep6_G7,GLDS137,ground,ribodeplete,13.86
Mmus_C57.6J_LVR_FLT_C_Rep1_M25,GLDS48,flight,polyA,7.11
Mmus_C57.6J_LVR_FLT_C_Rep2_M26,GLDS48,flight,polyA,6.68
Mmus_C57.6J_LVR_FLT_C_Rep3_M27,GLDS48,flight,polyA,13.45
Mmus_C57.6J_LVR_FLT_C_Rep4_M28,GLDS48,flight,polyA,26.94
Mmus_C57.6J_LVR_FLT_C_Rep5_M30,GLDS48,flight,polyA,23.72
Mmus_C57.6J_LVR_FLT_I_Rep1_M21,GLDS48,flight,polyA,14.4
Mmus_C57.6J_LVR_FLT_I_Rep2_M22,GLDS48,flight,polyA,24.7
Mmus_C57.6J_LVR_GC_C_Rep1_M36,GLDS48,ground,polyA,3.82
Mmus_C57.6J_LVR_GC_C_Rep2_M37,GLDS48,ground,polyA,4.79
Mmus_C57.6J_LVR_GC_C_Rep3_M38,GLDS48,ground,polyA,11.66
Mmus_C57.6J_LVR_GC_C_Rep4_M39,GLDS48,ground,polyA,5.35
Mmus_C57.6J_LVR_GC_C_Rep5_M40,GLDS48,ground,polyA,10.57
Mmus_C57.6J_LVR_GC_I_Rep1_M31,GLDS48,ground,polyA,1.34
