,Mmus_C57-6T_LVR_BSL_Rep1_B1,Mmus_C57-6T_LVR_BSL_Rep2_B2,Mmus_C57-6T_LVR_BSL_Rep3_B3,Mmus_C57-6T_LVR_FLT_Rep1_F1,Mmus_C57-6T_LVR_FLT_Rep2_F2,Mmus_C57-6T_LVR_FLT_Rep3_F4,Mmus_C57-6T_LVR_GC_Rep1_G2,Mmus_C57-6T_LVR_GC_Rep2_G3,Mmus_C57-6T_LVR_GC_Rep3_G5,Mmus_C57-6J_LVR_FLT_C_Rep1_M25,Mmus_C57-6J_LVR_FLT_C_Rep2_M26,Mmus_C57-6J_LVR_FLT_C_Rep3_M27,Mmus_C57-6J_LVR_FLT_C_Rep4_M28,Mmus_C57-6J_LVR_FLT_C_Rep5_M30,Mmus_C57-6J_LVR_FLT_I_Rep1_M21,Mmus_C57-6J_LVR_FLT_I_Rep2_M22,Mmus_C57-6J_LVR_GC_C_Rep1_M36,Mmus_C57-6J_LVR_GC_C_Rep2_M37,Mmus_C57-6J_LVR_GC_C_Rep3_M38,Mmus_C57-6J_LVR_GC_C_Rep4_M39,Mmus_C57-6J_LVR_GC_C_Rep5_M40,Mmus_C57-6J_LVR_GC_I_Rep1_M31,Mmus_C57-6J_LVR_GC_I_Rep2_M32,Mmus_BAL-TAL_LVR_BSL_Rep1_B1,Mmus_BAL-TAL_LVR_BSL_Rep2_B2,Mmus_BAL-TAL_LVR_BSL_Rep3_B3,Mmus_BAL-TAL_LVR_BSL_Rep4_B4,Mmus_BAL-TAL_LVR_BSL_Rep5_B6,Mmus_BAL-TAL_LVR_BSL_Rep6_B7,Mmus_BAL-TAL_LVR_FLT_Rep1_F1,Mmus_BAL-TAL_LVR_FLT_Rep2_F2,Mmus_BAL-TAL_LVR_FLT_Rep3_F3,Mmus_BAL-TAL_LVR_FLT_Rep4_F4,Mmus_BAL-TAL_LVR_FLT_Rep5_F5,Mmus_BAL-TAL_LVR_FLT_Rep6_F6,Mmus_BAL-TAL_LVR_GC_Rep1_G1,Mmus_BAL-TAL_LVR_GC_Rep2_G2,Mmus_BAL-TAL_LVR_GC_Rep3_G3,Mmus_BAL-TAL_LVR_GC_Rep4_G5,Mmus_BAL-TAL_LVR_GC_Rep5_G6,Mmus_BAL-TAL_LVR_GC_Rep6_G7,Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep1_M4,Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep2_M5,Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep3_M7,Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep4_M8,Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep5_M10,Mmus_C57-6J_LVR_RR1_VIV_noERCC_Rep1_M16,Mmus_C57-6J_LVR_RR1_VIV_noERCC_Rep2_M17,Mmus_C57-6J_LVR_RR1_VIV_noERCC_Rep3_M18,Mmus_C57-6J_LVR_RR1_VIV_noERCC_Rep4_M19,Mmus_C57-6J_LVR_RR1_VIV_noERCC_Rep5_M20
0,350167.2213705282,70300.10780427161,254998.30723698065,323990.22810498753,550351.1981823752,643690.6103076313,220025.42251210922,140599.31159411027,330746.2948706144,47282.19368414475,89631.69472072228,43958.24428399466,75859.42004791083,83190.95890533815,205167.18140916777,100017.49646057138,63399.03835994421,36093.026846742505,107737.03621479029,70295.45977259193,82731.9264563338,299280.26696198294,382184.0315653524,178869.19189029306,209870.63895548417,170799.64194374334,310457.9768061118,296108.57613426226,192919.95012411012,59316.56406062136,163783.9087023856,240979.3001632538,172051.51708210126,103073.89625083348,184522.37277454152,119905.80440309449,198322.36027570657,131233.0782497457,200933.23860438168,196028.16996962854,240566.7255810933,239054.06886229423,514309.88690333185,655459.2131677759,250796.62332954846,1766216.0141412127,998604.2808716149,1364066.6268209517,392270.6956302946,278534.212212273,990152.5921934193
1,81135.87954878127,75114.0114919487,159463.6861297303,77102.93485968841,116389.23503787482,136418.98641209505,143734.44601861417,113715.01006464146,82061.92139807116,586370.5145315955,206353.2583553019,248620.29098617044,163468.32625297408,242113.87169334156,353923.93201428046,409005.2575716171,66208.05883952364,161874.70994456593,158163.10050262342,109351.42713203911,117784.27911773277,182742.24297602903,114765.84739659219,50370.27984604694,64066.73959678456,60438.41465047067,69492.26787152945,47075.809022932925,40651.71291755124,49623.03518711484,65770.79053322523,43587.30654799715,39099.80032394391,42100.80069779721,41271.83115243793,42497.930688247725,49174.28844808079,67848.93623578358,44051.92970625605,59901.36727889162,62636.98584912032,109161.27635162711,55768.27193233018,80767.23222629548,91918.96647601126,142449.3822663939,94363.19241471855,102117.45146003306,103616.31072431555,116882.13872186615,107624.77937516998
2,266035.8163751487,283489.9055734534,219318.70299040104,149445.67776931374,149085.63156839833,168585.672088008,215323.0351693488,197055.33049619355,180613.69015107988,210862.46959845463,157255.7206927687,190837.3322148969,166545.80733062164,111892.39681148721,310327.3784214319,263004.13689632533,144460.23176410195,85751.10658817901,167499.95969839508,170716.7890806314,138750.35812461222,211677.64301591108,167548.7651850971,664800.5944130666,618730.4862002105,782255.7568800851,445324.2139627299,359829.8145310149,442278.9203758235,303267.70254345355,353845.3717339483,254412.22018196495,437237.7656259658,590086.494194605,403125.90545860893,461346.8620334206,451020.4709992037,914201.6495219263,859499.5035479674,395707.92964559846,273021.4253789169,686817.8214214309,538574.3677450762,730336.2371149047,594704.8662334358,908743.1505587024,591912.1615976624,510925.8105740231,861490.5457642068,658710.5595330889,493613.7867373162
3,141739.24309655713,135173.58035330052,164338.33929780577,86984.59628703861,147956.50024866714,170449.37140163302,202669.8775972698,183508.16959734596,33829.65267352658,29046.461009559804,3412.239589570997,16160.694115894099,-9293.10895349741,18910.81501717007,-8158.320972160622,4758.071211910726,26677.8550967656,53487.336489665155,57459.027806287915,31884.452033077123,71207.42550484878,-9517.699190524898,30285.558368136128,278549.87461033824,362267.86593956087,259621.06383863944,311653.27011707146,208466.17985403084,263856.0006734885,130410.71979796649,254223.04057495785,13007.380816996618,-3837.234315717191,11231.539848901968,36705.61446998538,156264.56079329064,198235.53079054932,-24149.104778689605,-13528.243042469123,350.279151347569,66311.84252799295,286037.48147807264,320854.80079183413,279029.84230502904,282646.6621044991,366010.6448097823,95843.75521487268,115399.71979130412,123720.76432875753,102876.5979912416,139307.5566407515
4,2830547.4407102056,2362435.895817879,2455006.2397932834,2489852.046974171,2596115.873896201,3052782.9464921635,2147433.2199937426,2524242.085753663,2119767.2984632994,1542075.0645565616,2136498.0339072905,1696603.9950185474,1703655.7770028391,1532024.8587205699,3671497.3633597414,2569893.4955982575,1795595.8966739394,1069945.8875466639,2352547.372653613,1516986.8366882862,1782472.5190685964,3798478.763248146,2963084.093338427,4016301.5596085866,3811756.694465376,3110884.104206511,3461302.924177533,3439939.008510044,3854564.0041483585,2173867.528506668,3253799.726494301,2892543.3956160815,2771298.5307681686,2792383.9891083343,3193828.4253540863,2783169.2542243474,4141166.355097947,4566624.29362034,4235587.79113909,3997602.992600762,3137158.8684882433,3684629.2595973946,3845480.010826768,3982097.6288954294,3559103.30085814,5953346.859377448,4491412.9892243305,4345675.551457323,4683438.422376442,3313314.797524562,4620599.413861716
5,192695.78414430807,150946.1515397497,192430.73319784424,97284.15408613271,190318.16096440508,217679.98268750237,240906.5265433997,122778.85828517059,211168.13485671292,81449.10838773158,106494.02906922706,103387.77098989132,84148.69643924371,67888.73266699747,238820.86913764715,127378.38383254588,113455.19320867279,53800.172510049015,89366.83485062774,48450.580206408435,95760.57268277936,155432.06046402312,177593.26976280552,523700.04143344506,468525.86928104726,251148.15392351482,383354.12838488177,261419.2125864547,430949.42244679236,314933.9720918785,316845.6174974785,538252.906634916,534896.566165229,225460.97292894608,387079.79160729825,364429.32693289366,357250.5715023411,435441.37728231517,460026.8345794641,553181.1617697709,349547.0237597647,724493.3726161174,600057.284473276,591856.6673083388,758568.3532434965,1004872.50310979,609996.649610419,761417.9641310473,476000.20808434015,431848.94253530406,571516.1394925056
6,431323.12468448427,437894.31720362353,449355.44324700494,331127.4597144184,422291.59943139425,477354.01620142546,413478.21242415946,446617.7490685448,317267.1132290257,459506.8286083802,523990.0820080034,535497.405727219,496360.0597703412,471295.37102794746,489749.07999205956,457529.2048128949,560165.2248605217,438813.2965412675,679885.5211005755,560009.4820034307,542713.1972026841,367722.0982577437,451616.83990047826,592803.2221910182,612622.2927483221,568767.2734075745,549773.6702149487,383404.5561127375,505952.7013639382,411752.5281993958,492282.8999594463,445504.4012938595,492217.92631078337,417125.0941841432,482307.47769673314,532854.0526470694,586676.3459501516,572537.2929133625,592364.3521705574,585352.5194814345,577493.5838918522,444566.94233411545,517601.82909039507,490779.72291366506,503235.39029151696,727061.0523741926,558335.973458204,645612.2536970753,528439.7025527236,435732.17434111703,505116.3375418021
7,67791.85939700056,84194.69061597949,89451.06200751329,122164.8767714157,125562.81470928686,149665.76476918248,144990.81318385326,110626.90933029713,181796.8147660649,64161.20709256749,85861.71822952876,68913.76192277789,70226.21383064089,77404.1484841193,99504.75831224346,65490.06489912905,63929.04949319056,64562.637161142,71413.77997770385,57873.20456121932,80371.01767912255,107791.3219805661,112177.58767783013,-74225.67818189222,-140795.35097523022,-163276.63894266647,-71378.91550963854,-57156.2195872881,-111370.00246762419,-98412.34728726144,-26625.83053509651,-39168.57627632218,-44709.72162393465,-86972.82518675039,-91207.83955302958,-98270.83384293855,-31862.16786620299,-54962.938324454655,-103392.88030285065,-87123.47666679058,-83186.47889506348,183518.78422794212,289736.73678958055,267226.30682749,273970.0115375916,300628.98486869264,318296.9219984636,290046.8013477592,331583.1181272651,260255.11187467707,289456.6159027528
8,800236.5746890778,812617.9072828593,778740.4862280528,733091.3077941538,755482.9382760711,855787.3888212077,849630.673664272,869894.3803423702,802231.3927292378,381623.304674663,265842.72311605455,409334.0750275165,371484.1161183912,358132.94596551644,943235.6399308618,761820.2244376433,419072.9269907848,372421.77566506114,564986.1161819779,501498.73255363124,491534.5126374192,833657.6274037212,771587.038791236,1316373.6214517362,1143337.0353756486,935586.7025647021,1079998.4736133916,561413.1727596144,775928.9147868925,612504.1165818305,805428.5490455454,629181.6600243064,851220.8557223313,662995.8716913366,756643.7626862432,800208.8061797605,1012227.4615659711,1132220.529064384,911652.7700597473,1030606.4213621913,654826.6260235864,933292.3269976743,979997.5676779852,1020085.0521496594,953220.8096079505,1149273.5562139715,1204775.4097065942,1215928.115489783,1194226.4404632477,987241.314602516,1008170.2880277265
9,413819.5005174407,456132.72214218817,420580.9481349818,494700.6390927396,474633.700505868,551464.2417586327,528458.4487105316,501053.61533884413,573701.457470387,217605.0268465982,135317.2713151098,191881.7430888358,128167.23120703419,144138.30031204643,557568.6621091279,361435.31512798177,193651.9023930429,155978.8874235911,239502.2359213918,203655.36094646718,204510.11581632303,533821.8573713867,502684.18524603953,1741234.100273528,1591949.3316555845,1292158.7864838887,1463806.6609460455,1092925.801379116,1355418.9686169932,913689.320956501,1315873.983095819,1098951.9841147563,1319320.0836633702,1072937.421880395,1247760.597971874,1182269.2026769873,1531877.9048867417,1646998.4537350552,1536483.6117829287,1596463.986228546,1222302.9395597235,1464359.8086226445,1489191.1848470154,1367014.5992624033,1185830.3930144582,1869214.0103548171,1685058.5612085245,1729812.9241023732,1839509.6284515886,1397808.4541305427,1526567.1109568751
