gene,0,1,2,3,4,5,6,7,8,9
Gnai3,0.000537001904559612,0.0005161847375389779,-0.002483782429347488,-0.0009068115227381565,-3.815579537149661e-05,-0.00019225459732611635,-9.674454981932776e-05,-0.0011508102663625463,-0.0007864793149212023,0.003188006815284654
Apoh,-0.005754568315686893,-0.012919422421494919,-0.0012334442412578507,-0.02055567301947018,0.0008339818843589947,0.008422219685039381,0.04810258483718682,-0.002558560451274694,0.030005827497913532,0.012342905265727382
Narf,0.0005496618553589979,-2.4559728602121255e-06,-0.0007251346485200669,0.002412811006195341,-0.0005855619281006694,-0.002650867775532008,-0.0008783409581642549,-0.0002628124831018076,0.0007707144875989507,0.0007869546485339828
Cav2,-7.050755127385618e-05,1.1201809265487844e-05,4.933030755796025e-05,-1.0189884364861326e-05,-9.794989403699451e-05,-0.0005529295016634601,-0.0011984592582590804,-0.000633450931678694,-0.0010418163901252649,-0.000886440746503934
Klf6,-0.00021440253793481796,-5.907659496883794e-05,-8.64948453738265e-05,-0.001189360498367162,-4.233734667327527e-05,-0.0003738683228451836,-0.0009091464229977054,-0.000633282923397233,-0.0009005743647115665,-0.0006786623245660039
Scmh1,-0.00021498729468000106,-8.799903551035481e-05,-3.017001063629048e-08,-0.0003937960942557605,-0.00010668530199042896,-0.00037637502534649284,-0.0011778060675931466,-0.00048007764742093655,-0.0006911825395673235,-0.000972204745205581
Cox5a,0.00011446046818063212,-4.969911339210778e-05,-0.0003666652435624372,0.00036634590046212415,2.866588960792742e-05,0.0014356023297966468,0.003958336225641223,-0.0020306002577324418,-0.0005982574697181727,-0.0012502446500720227
Tbx2,-9.093585853162104e-05,-6.49250782100289e-05,6.783201580101562e-05,-1.6397878979851038e-06,-0.00015820408056177907,-0.0005901483243381429,-0.001084057995209918,-0.0005323284973424306,-0.0007432293690933464,-0.0009767366650013135
Ngfr,-8.155755452748371e-05,-2.6921414079162975e-05,-2.7953523361840514e-05,-0.000801903535138206,-0.00014851753880150697,-0.0005797867562086987,-0.0012626973139451946,-0.00041568352760193466,-0.0007389827025832783,-0.0007727657019821377
Fer,-0.00018739085739177596,-7.26657541143733e-05,0.00012161404099816627,-0.0003111105148544627,-0.00015098343759337702,-0.00016969431399714146,-0.001099676479061904,-0.0005064448709620197,-0.0009689665605652082,-0.0006207109693401132
