,0,1,2,3,4
Gnai3,-0.00010256268335972024,0.0004892739192753292,-0.0002271273216539253,0.00023957425752550417,4.2812690981870655e-05
Cdc45,-2.618694723402977e-05,-0.00045554616422376965,-0.0001293763528039657,-8.666878816757436e-05,-7.203676242263539e-05
H19,-0.00031484134475099506,-0.00014486432790449498,-0.000251643307509099,-0.0002079758602387351,-0.0001586518753915568
Scml2,-4.560845374864512e-05,-0.0004666028673828769,-0.00012833624231371017,-8.439273185490443e-05,-7.569854498936057e-05
Apoh,-0.012484148934399936,0.018560057255569924,0.0016251008306121554,-0.0001337699282902149,-0.00013639513963569126
Narf,-0.00017142642408998405,-1.8594656507752748e-05,-0.00023341426059348184,-0.00010341597108038764,5.791682185318676e-05
Cav2,-4.332550063271826e-05,-0.00042221558849752446,-0.0001368880080401798,-8.016501676384421e-05,-7.06975426591816e-05
Klf6,-0.000180588389318638,-0.0002997858301733404,-0.00010907609713891918,-7.5851818883909e-05,-7.261706456117711e-05
Scmh1,-8.897788443153498e-05,-0.0003639941028377756,-0.00013377642413226772,-9.504641688024937e-05,-8.615285947988521e-05
Cox5a,-0.000487105698622698,0.0004891690975076171,0.000304716949749306,-3.1480886503497885e-05,-8.072940638347125e-05
Tbx2,-6.480995652096941e-05,-0.0003981063842217909,-0.00012711928549411923,-0.00010311246424224535,-6.97982203961148e-05
Tbx4,-4.4717734410742214e-05,-0.00046603681100436075,-0.00012886955868805962,-8.505737770766707e-05,-7.598867240194838e-05
Ngfr,-3.0473439977499405e-05,-0.0003953265811431355,-0.00014808010013391617,-8.512421708306467e-05,-8.119249339817113e-05
Wnt9a,-5.053687669503042e-05,-0.0004595503831259464,-0.00013041555711679092,-8.585571534397454e-05,-7.684022972435997e-05
Fer,-2.276915353598388e-05,-0.0003802467803478063,-0.0001445658252091687,-5.2792634636476616e-05,-5.9226563463651746e-05
Xpo6,7.148902683456921e-05,-4.245912350928336e-05,-0.00014527908315405653,-8.307366633527478e-05,-4.6936748037982115e-05
Tfe3,-6.244341383250273e-05,-0.00022647646878626353,-0.00011508349560053631,-0.00012191623573777526,-0.00010082411700480108
Axin2,-0.00015053018766149998,-0.0003501311933210232,-0.00012685897570837774,-7.33828068559524e-05,-0.00010252079134306314
Brat1,-9.321931485405413e-05,-0.00035755743153955744,-0.0001353266241388444,-8.673401281655516e-05,-7.686220927882913e-05
Gna12,-0.0017406252188762856,0.0006920166668470818,-0.0004525503392579868,-0.00026308018642881234,8.533727453288263e-05
Slc22a18,-0.000224254186308531,0.00024496232167910413,1.8750469188519012e-05,-0.00018765362809655987,-0.00012690036318187788
Itgb2l,-4.3751198898988264e-05,-0.00046675280055901434,-0.0001286406150620717,-8.479303671884945e-05,-7.603662374564329e-05
Igsf5,-0.0004390522579301071,-0.0002811039466488222,-0.00010946078698657274,9.627836202119894e-06,-4.672908964922871e-05
Pih1d2,-5.357529553421999e-05,-0.00046324510929953843,-0.0001277118262235131,-8.35591068836973e-05,-7.599177525169598e-05
Dlat,0.0005860539460284566,9.139184764418724e-05,-0.0001697487182634657,1.863444225744928e-05,-0.00011276576083933687
Sdhd,-0.0036808700942276874,0.001144637153838845,0.00010586652993814298,0.000496571328484398,0.00013016469053251585
Fgf6,-4.435886198107034e-05,-0.0004660983430969455,-0.00012886638611300604,-8.51464158534519e-05,-7.615493566236942e-05
Ccnd2,-0.00044765571793570815,-0.0001800861318697464,-0.00018253849321789705,-0.00010991664131523709,-3.386384780353762e-05
Gpr107,1.4226098218249811e-05,-0.00025136781101527475,-0.00015280082026900805,-7.392090387733817e-05,-4.715412523198481e-05
Nalcn,-4.956094855743414e-05,-0.0004630567485802284,-0.00013029947593521117,-8.587970117090561e-05,-7.672703195487119e-05
Slfn4,-5.779555733260524e-05,-0.0004669123777134414,-0.00010881603094178484,-7.757597432515531e-05,-7.423547659302008e-05
Th,-0.00016523315755868993,-0.00038149840457290206,-0.0001688641280526838,-0.00011833219242962159,-9.770621418916048e-05
Drp2,-4.4217015941951976e-05,-0.0004657732114469496,-0.00012873585645454744,-8.513806317146242e-05,-7.58827129528364e-05
Tspan32,-1.6674525213169498e-05,-0.00045704778808283833,-0.0001277825001529434,-8.564145089244876e-05,-7.536213830166881e-05
Lhx2,-0.000104494069703126,-0.0004299449617226614,-0.00012828128837809696,-8.836005515138304e-05,-7.738506395704557e-05
Clec2g,-4.401614540115312e-05,-0.00046637880787604746,-0.0001288413036181899,-8.496174404625084e-05,-7.610753090419214e-05
Gmpr,-6.0943122392155624e-05,-0.00044379002049798585,-0.00013511407984838488,-8.893605472193178e-05,-7.861734402413613e-05
Mid2,-6.288602973442415e-05,-0.00037450614326900894,-0.00014175998129053633,-6.187604073662642e-05,-7.171678961988971e-05
Trim25,5.752828866338868e-05,0.00046401361705054655,-0.0001868077598641111,4.178387007452792e-05,4.1643745893231155e-06
Dgke,1.0353706582327459e-05,-0.00044614198224530093,-0.00012874569865691212,-8.363580308992497e-05,-7.395612525062267e-05
Scpep1,0.000650188659983951,7.409710470500779e-05,-0.00017004409994555354,-0.0001105224776668524,-0.00012169626384816102
Mnt,-3.3733444202825554e-05,-0.00033706190586847175,-0.000139633675399506,-0.00012097835238071752,-8.202987718436486e-05
Itgb2,5.018600270980017e-06,-0.00033718522573862315,-0.00016038811919983733,-0.00010139024002012266,-7.171934781594985e-05
Hddc2,-3.094299198849143e-05,-0.0004579986173925879,-0.00012429837852787775,-8.185346554500304e-05,-7.686264958960743e-05
Tpd52l1,-0.00010266337043507151,-0.00039243504771463504,-0.00011449399333099197,-8.373243706410304e-05,-7.876130746069398e-05
Pemt,-0.000650682504892398,0.001808588424141093,0.00038552997244539105,-9.264209527288437e-05,-2.2086332367737768e-05
Cdh1,0.0012968420374793184,-0.0003424085348884941,-0.00013041524725817982,6.093918525356728e-06,-7.480597911649876e-05
Cdh4,-7.127549941436877e-05,-0.0004539674814590171,-0.00013121277321815762,-8.585629389752898e-05,-7.335784959645635e-05
Ckmt1,-4.90634996661451e-05,-0.00046473573125216264,-0.00012949070875300806,-8.496798173735661e-05,-7.691040793636003e-05
Bcl6b,-2.1186932957946223e-05,-0.0004305304607869135,-0.0001291258540372778,-9.064013185468212e-05,-7.144351513899926e-05
Clec10a,-3.760279394940411e-05,-0.00046016951859968405,-0.00012789777540364036,-8.581390668520975e-05,-7.651616649635632e-05
Alox12,-3.037280218179755e-05,-0.00045280894016901633,-0.00012614047856731312,-8.53885630998037e-05,-7.553558986613254e-05
Arvcf,-0.00016497082411078207,-0.0002841007354261403,-0.00012964259245246357,-5.4946697941935785e-05,-4.252735301088024e-05
Comt,-0.0034260435757758035,0.0040970985940230985,0.0002778071534309333,-0.0002597265169724186,-0.0003444708647483389
Rtca,-7.955761450521494e-05,-0.00039003031558641906,-0.00013140371861129695,-8.32490030529882e-05,-7.96975791566385e-05
Dbt,0.00018691689936496306,0.00046687094059928084,-6.960793891751303e-05,0.00015371370957721544,-4.159595819866479e-05
Dazap2,-0.0011467876599417358,0.0008255768579098388,-0.00014730620457192837,-0.00029597884302901554,-0.00025100702513569683
Mcts1,-8.594056618676004e-05,-0.0003301719990913444,-5.214120860223826e-05,-7.595702637434396e-05,-7.534923667870444e-05
Rem1,-5.265685731414261e-05,-0.0004614711013120242,-0.00012799666120176867,-8.444600116028843e-05,-7.500260675096552e-05
Rnf17,-3.5641358154355064e-05,-0.000466395061992397,-0.00012874751105324746,-8.508371750629769e-05,-7.486590849402751e-05
Trappc10,0.00023226195270820396,-0.00020479600747214138,-0.00015053386149932633,-5.3754314507232344e-05,-4.080127414202425e-05
Ccm2,-0.00022361382082384997,-0.0003054280766980747,-0.0001307461007930697,-0.00010025453088062305,-8.182063757112975e-05
Tbrg4,-0.00017769755117066598,-0.00017960996628258794,-0.00011315761084529694,-0.00012489534687995464,-8.726835163011942e-05
Tmprss2,-7.829196831057208e-05,-0.00042016996150185846,-0.00011639715784847473,-6.281266821055932e-05,-7.686349751837815e-05
Mx1,2.4555691244728613e-05,-0.0004540426498260568,-0.00011348429615083736,-8.291001273401136e-05,-7.173770636154113e-05
Fap,-3.210371468959696e-05,-0.00046499368782905643,-0.00012541493988166259,-8.440936042602439e-05,-7.543154044690223e-05
Ndufa9,-0.0008242560454004924,0.0004692397873368465,9.827389998210185e-06,0.00013451229771598656,-2.9098718172120845e-05
Egfl6,-4.9365282259081673e-05,-0.0004629442087557019,-0.00013021071669531715,-8.595982358838958e-05,-7.711299909689181e-05
Lck,-5.265009740992509e-05,-0.0004448106569688233,-0.00012205709020090602,-8.647087984371681e-05,-7.682332351017906e-05
Cttnbp2,-6.481494115523282e-05,-0.00045243392285848405,-0.00013343552573038677,-8.95619451412736e-05,-7.746970421002505e-05
Galnt1,0.00023547735618924902,6.70644478788545e-05,-0.0002419322052609455,-7.906700114850343e-05,-8.482692565087025e-06
Myf5,-4.42721520781501e-05,-0.0004664020599924665,-0.00012886689543146863,-8.500339686631601e-05,-7.609832758740916e-05
Mkrn2,-0.0001028883769337574,-0.0003101840315634566,-0.0001356936906099596,-7.822846426126398e-05,-7.594453815848898e-05
Pparg,-0.00010677454428115803,-0.0003816914011127485,-0.00014008012645356762,-9.37819270292105e-05,-8.490348800073095e-05
Raf1,1.1709519895164282e-05,0.0002800494815705889,9.156676303548567e-06,4.5792468564779924e-05,-0.00010938620790056317
Septin1,-5.249330624068016e-05,-0.0004467675794620293,-0.00011289067150972529,-8.790357502817243e-05,-7.998657829472195e-05
Pdgfb,-3.8069673618642716e-05,-0.0004464352388338838,-0.00013340349167026766,-9.135186813046098e-05,-7.704106218022485e-05
Acvrl1,-6.228995795198254e-05,-0.0004332867781712221,-0.00013404123815813934,-8.981264536321128e-05,-7.219022311216748e-05
Grasp,-4.966465656650424e-05,-0.0004487775004964928,-0.00012759225264748686,-8.872336202184037e-05,-7.633711663242511e-05
Acvr1b,-7.466570497375617e-05,-0.0003313392491016273,-0.00015193290173395256,-9.051506936738586e-05,-8.15698277647496e-05
Tom1l2,0.0002377174243209371,-0.00018665355716930608,-0.00011473860452796772,-8.16831553672158e-05,-6.89584915839575e-05
Zfp385a,-0.00014502049127435092,-0.0003028468147338212,-0.00013793350110072623,-0.00013301422268244433,-0.00010876699900516109
