,AllR/AraC/FucR,ArcA-1,ArcA-2,ArgR,AtoC,BW25113,Cbl+CysB,CdaR,CecR,Copper,CpxR,Cra,Crp-1,Crp-2,CsqR,CysB,DhaR/Mlc,EvgA,ExuR/FucR,FadR,FecI,FlhDC,FliA,Fnr,Fur-1,Fur-2,GadEWX,GadWX,GcvA,GlcC,GlpR,GntR/TyrR,His-tRNA,Leu/Ile,Lrp,MalT,MetJ,Nac,NagC/TyrR,NarL,NikR,NtrC+RpoN,OxyR,PrpR,PurR-1,PurR-2,PuuR,Pyruvate,RbsR,RcsAB,RpoH,RpoS,SoxS,SrlR+GutM,Thiamine,Tryptophan,XylR,YgbI,YiaJ,YieP,YneJ,Zinc,crp-KO,curli,deletion-1,deletion-2,duplication-1,e14-deletion,efeU-repair,entC-menF-KO,fimbriae,flu-yeeRS,fur-KO,gadWX-KO,insertion,iron-related,lipopolysaccharide,membrane,nitrate-related,proVWX,purR-KO,sgrT,thrA-KO,translation,uncharacterized-1,uncharacterized-2,uncharacterized-3,uncharacterized-4,uncharacterized-5,uncharacterized-6,ydcI-KO,yheO-KO
b0002,-0.0108880263344,-0.00771650734545,-0.00850162662661,-0.0121863459993,-0.0614887353296,-0.00559905869491,-0.007376995629680002,-0.0007947313381510001,0.0043309495882,0.00184468715184,0.008260881203550001,0.00121203265874,-0.0214406978683,0.0130111420546,0.0031640649528,0.0536349976207,-0.00507228157458,-0.009320782874549998,-3.58690174888e-05,0.0120553526449,-0.0136673063658,-0.0218527562723,0.0245455238748,0.00496410924916,-0.00545986655506,0.0147156907979,-0.0158055997861,0.00491830527702,-0.00172910261932,-0.00657755735054,-0.00631990583796,-0.00297981682097,0.0370143561825,0.0189714672795,0.0187509790579,0.0552364870316,-0.00470772332116,-0.0266154703491,-0.0342569505277,-0.00805429670148,0.0292946356974,0.0079798679021,-0.00999201249324,0.035197422530900004,0.00726429563093,0.0045871674088900005,0.055828958454,0.0198146904416,0.004408324953800001,0.0186689875928,0.00320080032923,-0.0101516143428,-0.00193406289503,0.00441933116491,-0.00344481604538,-0.00167901406337,0.00947120197602,-0.038374133325099986,0.00727703992081,0.07269252589269999,-0.0135434212147,-0.0221806585589,-0.00405747893149,0.0370366730276,0.0139620357296,0.0247269799795,-0.0120267485797,0.008687344802229999,-0.0100453338775,0.0037886316825,-0.146382192005,0.0890525138995,0.00860551350965,0.00562529680372,-0.00178027726472,-0.0188829105562,-0.0012129856381,-0.0121235422273,0.0533729791084,0.00904288265327,-0.0019234104363,-0.00631544584116,0.479208912424,0.0356847968226,0.0247782435418,-0.0106598345058,-0.00212296578446,-0.00441638879549,-0.0054280930855,-0.00921913994459,-0.00434484626541,-0.00783830764059
b0003,-0.011467301371,0.00304171467418,0.0114475835048,-0.00368469133941,-0.00610620617313,0.00668021104123,-0.0435124140185,0.005106981254449999,0.0004736499833430001,0.007649782104430002,0.013172032338,0.0130214042999,-0.00368668858408,0.00275634294794,0.00102288899345,0.023684440667,-0.012619869201200002,0.0132184129016,-0.00151399515151,0.007099344576770001,-0.00505239092624,6.47275241729e-05,-0.00252753511378,-0.00823161128466,-0.00178512192354,0.0135252534622,0.000315269090401,-0.0166477408435,-0.0048844948868800005,-0.008623640017950001,-0.00996937074777,-0.00307956559848,-0.000711523132358,0.13754977127499998,0.00211929280869,0.021747396406200003,0.00796679920191,0.00610718574725,-0.037808498001300005,0.00294473557737,0.00655539257681,0.000446316839231,-0.00846094392308,-0.00385885105339,-0.00318437072654,0.0008515373051639997,-0.0240841065028,-0.00355614004902,0.000860108388284,-0.0124660134656,0.023066159037900005,0.00470223096755,-0.00204283437158,0.0131304059625,0.00155874079556,0.00235544554964,0.000180073852257,-0.0245714383843,0.0123627327724,0.015975112846200002,0.00351163888632,-0.00154154773555,0.0109010001966,0.0013065810613099998,0.0105873540901,0.00720857088563,0.00118212408824,0.00111606891793,-0.00677456766089,0.0269422248661,-0.0159036752819,0.0156537047379,-0.0010982849649,-0.0134845027535,-0.020087097282900004,0.0155021245279,-0.000674934157992,0.004401741948850001,0.0201784647772,-0.0108410334876,-0.0190800319465,-0.022438174573400003,0.0114200298433,0.040810539708,0.00332410077904,-0.008423848063520001,-0.00441517931072,-0.016126293481,-0.0164763397068,-0.00349691088758,-0.00358301632137,0.00338088517861
b0004,-0.0086929087013,0.00394386437729,0.012347237158,-0.00810395084773,0.0005850459498470001,0.00324534655079,-0.0412830288465,0.00639007059576,0.0042604498755700005,0.00710867012234,0.00879854511065,0.00658225938661,0.00446081818774,-0.00151042509866,0.00406463699428,0.0236348295037,-0.0138179654572,0.00528585186655,0.00185857095739,-0.0017260279207,-0.002344331165,0.00186819636984,-0.00305773283052,-0.0029891164165,-0.00661240740378,0.016367344399200002,-0.0005440325583290001,-0.010700158277200002,-0.0033399329815500005,-0.007407466157929999,-0.00380755636371,-0.00523041666457,0.00505317472204,0.134220744954,-0.00017271386610599995,0.0217004880713,0.00402801677897,0.00038582766116800017,-0.0322259576497,-0.0071415339680500015,0.00397987547793,0.0038898961032399993,-0.0103950391668,-0.0035423116806,-0.00129535764772,-0.000352388388044,-0.022190110947,0.00356846857652,0.00248571259451,-0.008290063553810002,0.02469488652,0.0035065937399,-0.00157043624114,0.0201182111878,-0.00402861954019,-0.00770957206236,-0.00201086438778,-0.027018322701,0.0101985218323,0.0153190472919,0.00214364677959,-0.00165233930128,0.0134884085029,0.0030354111331599995,0.00674808802347,0.00501370171172,0.00375891031445,-0.000214172552481,-0.00445532967519,0.0241318634756,-0.0121201182513,0.00635161222999,-0.015277588805499996,-0.009005504819920001,-0.014142434340700004,0.0162625008189,0.00990243639078,0.005342031659050001,0.0228231340375,-0.016493982844799998,-0.0149624188435,-0.0165654905089,0.0113389566449,0.036243542654,0.00371038687607,-0.00521174195449,0.0006999884263099999,-0.0110959301794,-0.006140334835579999,-0.00315492751306,-0.00841783152886,0.00012903111253
b0005,0.0065649207596,-0.00109872494132,0.00941495100827,-0.00850696147702,0.00539854493479,0.014747630936200002,-0.00924921664578,-0.00305820518178,-0.012649495749700002,-0.00237008830248,0.0136640197902,0.0227745133721,0.0087693937815,0.00520398839707,0.00371899945815,-0.00169516190255,-0.00240338076855,-0.007263362417670002,0.000699852738724,0.00699324508773,-0.0132670634374,-0.008223903103029999,0.004149241404679999,-0.0140337198971,-0.00653685150485,0.0109999491201,-0.004394958929979999,0.007014742707819999,-0.0109310723453,-0.0184207760143,-0.000685176176561,0.00126440114229,0.000585203649834,0.09647342540860004,0.00832587471102,0.00945651697217,0.00670141019912,0.00473709601279,-0.023086848891400003,0.00103341525942,-0.000106414008252,-0.0127289511886,0.0255006953559,-0.00856007915629,0.00526600882812,-0.0009505913748160002,0.00984881889061,-0.00428272890435,0.0168862923667,0.00091964224769,0.0212063441834,-0.00685643525217,-0.005825640218449999,0.0025393695430100003,-0.00123216846334,-0.00890133695317,0.008686440553280002,-0.00521548629376,0.00746459753904,0.00822914414329,-0.0190916874271,0.00017086144109099998,0.0223518980891,-0.0139444915861,-0.00538636647004,0.003686791068,0.008874357537219999,-0.0152760647375,-0.00202917974483,0.0163219520876,0.00525179351933,-0.00516252405635,0.00726742496207,-0.017963889411299998,-0.0207267570131,0.015265468775,-0.015319318716,0.0106763767349,0.00354132696221,-0.0192397881152,-0.00706828551748,-0.0153186678045,-0.0153239219864,0.0289724836894,0.023968859440900003,0.000149819079568,0.0184973722573,0.00942761625476,0.00125528441699,-0.00689022160623,-0.0280690246298,0.0215336576707
b0006,-0.00601060165502,0.00988932568943,-0.005554607229149999,-0.00015237501894,-0.00245424173636,0.00967766040449,-0.00345594820076,0.00215979177113,-0.00192368961323,-0.0006281140017919999,-0.00269467574152,-0.0011488799504600002,0.00242912173249,-0.00245731150663,0.00663577842068,-0.00376362879566,0.00375441956187,-0.00344118364413,-0.00281870533116,0.00463384123189,0.00579957246969,-0.008074345877520001,0.00376801939666,-0.00453505718643,-0.00373566096207,0.00980840981998,0.00364801313912,-0.00549774210296,-0.0245299267613,-0.0057203878258,-0.00184885249771,-0.005293683266979999,0.0071650667685,-0.016371543200399997,-0.00317892006705,-0.00952210588273,-0.00386961286639,-0.00548840296138,-0.00326909594164,-0.00224706191507,0.0143177388757,-0.0047365348159,0.047364515522300005,-0.00154339699899,-0.0009716476509410002,0.0018183486451500005,-0.0116748210493,-0.000455299498069,-0.0109755003733,0.00212785039691,0.003583932491340001,-0.014760717616299997,0.005781447684580001,0.000134950526205,0.0104415566739,-0.00231007117918,-0.00719769889187,-0.00232611815742,-0.004805406303430001,-0.00494070309171,-0.00101330490917,0.004837586093600001,-0.00418280627035,0.00964257354154,-0.00545196000198,-0.00368371199412,0.00149560340175,-0.00672187862188,0.00607451585174,-0.0073903365076,-0.00230533725612,0.0022904573300300004,-0.0031048680907,0.00400269869896,0.0061692251767,0.00397455055172,0.0058584921983900005,0.005071107902729999,0.00787429206275,0.00166091008906,-0.00825491331942,-0.008756270828520001,-0.00566110422759,0.000700345485163,-0.00253767811103,-0.00610311320563,-0.0025056937412800003,-0.00507705296506,-0.00461605831322,-0.00358547500096,0.0016071833656,0.00128510601869
b0007,0.0006714799418059999,0.00161355295269,0.008482530314220001,0.006383237616420001,-0.0316138413592,-0.00533608191289,-0.00435203451267,-0.006738835235829999,-0.004841421897489999,0.00182717386281,0.0192730324251,-0.00627116475287,-0.00211145304303,-0.00391755833442,-0.005838812856729999,-0.008659837090549998,-0.00116158661316,-0.0114963728477,-0.00389896037627,0.00989480463359,-0.0228390117713,-0.0109120531911,0.00926526195167,0.03005225658,-0.00322202102594,-0.00791534258329,-0.000113347686552,0.00935485104178,0.016053639640200002,0.00074841264649,-0.00392946827576,-0.0011023470934000002,0.00946223774525,-0.00183088457825,-0.0120933001184,-0.00987757603886,-0.006171019082,0.007686290871859998,0.0126244745441,-0.00233994483106,-0.0150110367075,-0.00784916778587,0.0210054916161,0.00533183507859,3.36394536716e-05,-0.00389977940061,-0.0263069268557,-0.000481794885436,-0.00182305160213,0.0084096293009,-0.000251317276364,-0.000337337718108,-0.00202506165287,-0.004899350622749999,-0.00824184490635,0.010498399421,0.00292705283654,0.00320715339005,-0.00220562775083,0.00811079633272,-0.004310471775880001,-0.00098828828501,-0.00646471564257,0.000238323339991,0.00207681519777,0.00246361186869,0.0161219990588,0.00503247035362,-0.00312874830079,-0.0197487563213,0.00211050509789,0.000327070344557,-0.00725863930492,-0.00519356195025,-0.0127648085325,-0.00366500159345,-0.00300407616894,-0.010467547226200002,-0.0188233686262,0.0132172053868,-0.0103409674889,-0.0236037477171,-5.96064080292e-05,0.00336201133505,-0.00874808754757,-0.00286071013352,0.0103608787186,0.0242041746085,-0.0312919939849,-0.00421399034283,-0.016676022853899998,-0.000279842837293
b0008,0.00180526821319,0.00403515479099,-0.00311471309962,-0.00823682866149,-0.00401466560971,0.00285678680274,-0.0102572262308,0.00243772166819,-0.00266263005707,0.00398788112934,-0.00437191496045,-0.00433654654096,-0.00308352960964,-0.000111506225787,-0.000583653007186,0.005882499875920001,0.005882346114350001,0.00181477391799,-0.00232943934098,-0.00201907355146,0.00639119730507,-8.44298217747e-05,-0.00352262192312,-0.0075630991288,-0.00591153085547,0.0137046469283,-0.00249775532979,0.000928539017542,0.0184035289423,0.000974800041834,-0.00127036206969,-0.0053033905204600005,-0.00420796942297,0.0121682774888,0.00726632934837,0.00200223231196,-0.000949187104519,-0.006667307286489999,0.0113673741655,0.005347395977939999,-0.00350551931453,-0.00572923392112,-0.00340778026717,-0.0028769807318899995,0.0031574635712600004,-0.00726520006465,-0.00565001117525,-0.0014875777544,-0.00853652290906,-0.00180305219602,0.00866959673344,0.00039436646911300007,0.0012845707404,0.0108635473222,-0.00474630510875,0.0011547480671,-0.0005259878404619999,-0.005663698428060001,0.0007603580688530001,0.00862872322583,0.00033019628014,-0.000788246293151,-0.0114078306131,-0.0040302396495,-0.00345268846873,0.000337192533651,-0.0007066628586050001,-0.008911887776700001,-0.00915227378603,0.00434036064069,0.008913457313739999,0.0127612676351,0.00456633097097,0.00293742153881,-0.0008911945156089998,-0.00365023502312,0.00498570606755,0.0072151744570100014,-0.00867240402846,-0.0268396719702,-0.0186199829052,0.00289806432712,0.0112530513434,0.012013353032,0.00599554914918,-0.00281304790572,-0.0129593298173,-0.005412335576649999,-0.012123770679899998,-0.00520305957081,0.00169569398426,-0.0024873286609
b0009,0.0040284377280100005,-0.0116117954361,-0.00378369308082,0.00222989704935,-4.65889066286e-06,0.008108560148569999,-0.00845164147059,0.000758498435798,-0.00721782043144,-0.00803900020763,0.00891532912183,0.00729832227464,0.0138788486492,-0.00951453953204,-0.000946537782182,-0.0020099080642000003,0.000514738979074,0.0046592868208,0.00489084520404,0.00317476220677,-0.00236517273135,0.00020781734053700005,-0.00126318403751,0.00414950498336,-0.00332510156069,-0.0008867553949149998,-0.00039127922076699986,0.003923280029219999,0.00728384492081,0.00230650827831,0.00205344139185,0.01010929077,-0.0181015806785,0.00889104735055,0.00272065814921,0.005973437415500001,-0.00756979568434,0.00959206985899,-0.00257580754545,0.00133778002603,-0.0014463843152099998,-0.00952944597823,-0.00942518767182,-0.0134021128502,0.000955887172545,-0.00717834301462,-0.000120938379178,-0.00146343823596,-0.00606642471812,0.00226419792354,-0.00393514926382,-0.00929102082004,-0.00829909236758,0.000951895547751,8.53253889686e-05,0.00988173914924,-0.0005530716292650001,-0.0028823341441,-0.00257891543347,0.00295229199083,0.000555074243078,0.00197218851538,4.6418573374e-05,-0.00709254822671,0.00296359916675,0.00259681089096,0.0160134959492,0.00401859042237,0.00299567707857,0.00560866549887,-0.00566743472036,0.00135605880736,0.0041371992697,-0.0072008669637899985,0.011477097991,-0.00348996341593,-0.0159952274375,-0.00022587021120200004,0.013149070833,-0.00208437638154,-0.024309465561900005,-0.0119819056126,0.0020310262348,0.00198122555992,-0.00420734227723,0.000848307521569,0.00217859279719,-0.0144754941209,0.007630310016119998,-0.00532657946698,0.00328598978281,-0.0034778496896100005
b0010,-0.014823671404799997,-5.71024130741e-05,0.00880942172224,0.006532099788209999,0.000597699940714,0.0009213090808110002,0.0151849277181,-0.010503795086,0.00915909069346,-0.000630175193919,0.0195532685755,0.00384184691495,-7.66649140018e-06,-0.004307326189310001,0.000173654190572,0.0049291594765,0.000677204356164,-0.00995154194416,-0.00520765395743,-0.0145870169251,0.00319010844987,0.00200470402396,0.0011706634573399998,0.000438520227962,-0.011355243071,0.00126470298482,0.00241589517394,0.00543329484878,-0.0106239028522,0.0104103895122,0.000883725316298,-0.0127382053199,-0.000339228236312,-0.00187046577939,0.00422988046393,0.0126280362899,-0.00905046637774,0.0175099148066,-0.00229829270684,0.0118023773298,-0.0114804382384,-0.00353431890944,-0.00426784278835,-0.0153037494938,-0.00567005762012,0.005967969081989999,-0.00686359963264,0.0031682711904699994,-0.00578443943299,-0.00899914348171,0.0127711268408,-0.009214062647040002,-0.00441169341278,-0.0133221728873,-0.0087460669546,-0.00222150167049,-0.00709656212482,0.00816579785531,-0.00726167175181,0.00614235007828,0.00905017543519,0.00373256641464,-0.0114243846456,0.0117132500818,0.008618046883129999,0.00784895335127,0.0013626661644499998,0.00778972685506,-0.0149452777614,0.0104444945119,0.00171283625978,-0.005648202357410001,-0.0192214979459,0.00968091108536,0.010800033841899998,-0.0151367385153,-0.0153174015387,-0.0105882754101,-0.018178448797,-0.000180972207344,-0.0136845980302,-0.0013022617301300002,0.0029020295413000005,0.00611371004117,0.0279766870841,-0.000523980531395,0.00397917431887,-0.0024316414939200004,0.0167538847499,-0.0118186369136,0.00345168300866,-0.000487845716865
b0011,-0.0010023640647,0.00712748706184,0.0130655386742,0.010972721923200002,0.0189869862086,-0.00202246260358,0.0103766878307,0.0063617314809300005,0.0005832523505419999,-0.00399586322533,0.0253360293474,0.0027869790051,-0.00353501870577,-0.00655030164073,0.008222522618100001,0.00399563759071,0.004524315695220001,0.00958777498269,-0.00545051514141,0.0290343626341,0.00189794338191,0.00341946857724,-0.006259273686779999,0.0080064151983,-0.0102015644484,0.00879894491877,-1.35573475532e-05,0.0109078406481,-0.004511782655369999,-0.0013951118244900002,0.00176957474926,0.00344783293671,0.0011697646133199998,-0.0123554461818,-0.00186520791342,-0.00896748177334,-0.0116562864955,-0.00530407227413,0.00816861428797,-0.003957243267199999,0.0017937115757100004,-0.00454887060982,-0.0246096177552,0.011135871994399998,0.0157670734515,0.0022591634027700003,-0.00840355282634,0.00343134242814,-0.00639205668209,-0.00140408029598,0.0204768877701,-0.007413694475850002,0.00505515072963,-0.00188693853877,-0.0163859928291,0.00634763311703,0.00819144041486,-0.0136753903784,0.011690665138299998,-0.0331801817552,0.0028332259573299995,-0.00487478708994,-0.0012316983664,-0.00860639181388,-0.00255710050703,0.000554344677987,-0.0199131464871,0.00535359502645,0.000668616086541,0.00116912257295,0.00681262089117,-0.0036547115501,0.0126184340879,-0.016710631783000002,-0.00974473571118,-0.0435201283116,-0.00739383393753,0.00405324981023,0.00622008667129,0.00370119697423,0.00422542664939,0.0132681821149,-0.00127492381773,-0.00181917694898,0.0141524610108,0.017378748638500002,-0.0027260605267199994,0.000197491434172,-0.005239887541310001,0.00104266603219,-0.0059700867647,-0.00967960800783
