,kept,deleted
0,Non_causal_134,Non_causal_310
1,Causal_5,Non_causal_24
2,Non_causal_126,Non_causal_191
5,Non_causal_174,Non_causal_261
6,Non_causal_3,Non_causal_101
9,Non_causal_227,Non_causal_237
10,Non_causal_274,Non_causal_311
12,Non_causal_134,Non_causal_242
14,Non_causal_181,Non_causal_277
15,Non_causal_147,Non_causal_273
19,Non_causal_119,Non_causal_135
20,Non_causal_194,Non_causal_208
23,Non_causal_122,Non_causal_279
24,Causal_25,Non_causal_28
26,Non_causal_126,Non_causal_143
27,Non_causal_194,Non_causal_221
29,Non_causal_146,Non_causal_221
31,Non_causal_142,Non_causal_250
32,Non_causal_9,Non_causal_64
34,Non_causal_149,Non_causal_308
35,Non_causal_161,Non_causal_212
36,Non_causal_181,Non_causal_278
37,Non_causal_134,Non_causal_313
39,Non_causal_124,Non_causal_140
40,Non_causal_174,Non_causal_177
41,Non_causal_174,Non_causal_312
42,Non_causal_201,Non_causal_252
44,Non_causal_153,Non_causal_282
45,Non_causal_14,Non_causal_71
46,Causal_19,Non_causal_75
48,Non_causal_183,Non_causal_289
49,Non_causal_181,Non_causal_272
50,Non_causal_201,Non_causal_302
51,Non_causal_201,Non_causal_219
52,Non_causal_134,Non_causal_211
54,Non_causal_162,Non_causal_246
55,Non_causal_183,Non_causal_309
57,Non_causal_126,Non_causal_158
