,corr,name
oro_thresh,1.0,oro_thresh
Ube2j2,0.33577358239318755,Ube2j2
Olfr711,-0.27387809857791406,Olfr711
Syt10,-0.2496874296006465,Syt10
Atp8b4,-0.2405500030996646,Atp8b4
Ap1m2,-0.22335007699286846,Ap1m2
Ube2b,0.22116097017365807,Ube2b
Arrdc5,-0.21703547275942314,Arrdc5
Cox6b1,-0.20969411145480732,Cox6b1
Vmn1r223,0.20748729532372462,Vmn1r223
Trim15,-0.19482162064710903,Trim15
Fam170a,0.1936951332847552,Fam170a
Trpm7,-0.19255619689246983,Trpm7
Ccdc107,0.19217356761987792,Ccdc107
Adam21,-0.18767855720984927,Adam21
Tars,-0.18491852545356247,Tars
Gpt,0.1843443029101663,Gpt
Deup1,-0.179719697523594,Deup1
F8a,-0.17860400963551484,F8a
Slc36a2,-0.1762500509765511,Slc36a2
Rbis,-0.16370182289061003,Rbis
Bmp2k,-0.15647674592897526,Bmp2k
Ddr2,-0.1511380573595898,Ddr2
Thap1,-0.14883127740203786,Thap1
Ly6g6e,0.14647797973368737,Ly6g6e
Grik3,-0.1449015237694275,Grik3
Pramel31,-0.14487847229826895,Pramel31
Gli2,-0.13629421465066782,Gli2
Lepr,0.13532583975456314,Lepr
Tmem190,-0.1347037878795552,Tmem190
Slc39a10,-0.13396866168774607,Slc39a10
Dcaf13,0.12858394371287096,Dcaf13
Esd,0.12745238844228157,Esd
Camk1d,-0.12150894195942366,Camk1d
Grm3,-0.12056287015845818,Grm3
Mtf1,-0.11611362078765129,Mtf1
Mmp27,-0.11480804765084048,Mmp27
Fanca,-0.11373895522442738,Fanca
Zfyve21,-0.11194457615047337,Zfyve21
Speer4a,-0.10998852826971672,Speer4a
1110065P20Rik,-0.10498381588645954,1110065P20Rik
Gm1979,-0.10136581853877898,Gm1979
Lipi,-0.10086561781486411,Lipi
Nnat,0.10016002381740528,Nnat
Trim10,-0.0922765500826579,Trim10
Ftdc2,-0.08920243704734818,Ftdc2
Tbx18,0.08374083048133252,Tbx18
Ccnh,-0.08350647241598566,Ccnh
Tyw1,-0.08298400016027002,Tyw1
Ifi204,-0.08275485115794078,Ifi204
Megf9,0.07766954721831959,Megf9
Pnma3,-0.07157568990776696,Pnma3
Tmem176b,0.07094931894113804,Tmem176b
C7,0.07051817251247883,C7
Casp7,-0.0692301498183096,Casp7
Grk1,-0.06593765763174687,Grk1
Acy1,-0.06555010587662399,Acy1
Wdr38,-0.06321800913143366,Wdr38
Riiad1,-0.06310521351639213,Riiad1
Olfr665,0.06235468306224313,Olfr665
Ehd3,-0.062323048542871747,Ehd3
Acox2,-0.0614348060161161,Acox2
Vmn2r71,-0.05807808048705138,Vmn2r71
Scgb2b27,0.05797646329544776,Scgb2b27
Tmem106b,-0.05117911469595553,Tmem106b
Rpl10,0.04878101984107724,Rpl10
Plekhg3,-0.048436165224327976,Plekhg3
Ap1s3,-0.04700218569162713,Ap1s3
Oacyl,0.0463088722137578,Oacyl
Gm20683,0.045745397732133444,Gm20683
Lrrc10b,0.04479030030764725,Lrrc10b
Gm47959,-0.04407270604785605,Gm47959
Nuf2,0.04327815738452036,Nuf2
Gm21698,0.04252488338531513,Gm21698
Pfn3,0.041648350258734076,Pfn3
Pth1r,0.04092568962489886,Pth1r
Myc,-0.04034976959361984,Myc
Gm6367,-0.03390254951724216,Gm6367
Slc26a10,-0.03381535113198811,Slc26a10
Vipr1,0.029066508230357155,Vipr1
Gm7347,0.029054577419093636,Gm7347
Gpc1,-0.028439502236082412,Gpc1
Cldn34b4,0.027237263783305803,Cldn34b4
Tecpr1,-0.026329683766313956,Tecpr1
Cstad,-0.02311508187998839,Cstad
Ttc7b,-0.01973509538584711,Ttc7b
Sv2a,0.01949692159517343,Sv2a
Zfp410,-0.018473649164643228,Zfp410
Chga,-0.016328090498634935,Chga
Tmem41a,-0.015998439582933396,Tmem41a
Arhgap5,0.012178742829568299,Arhgap5
Camk2n2,-0.009573071186767815,Camk2n2
Fkbp11,0.008990455906305136,Fkbp11
Sh3pxd2a,-0.008168258741129123,Sh3pxd2a
Zfp831,-0.007892133951203101,Zfp831
Wdr11,0.0075500462079412965,Wdr11
Psrc1,-0.005071761953278668,Psrc1
Tas2r143,-0.003183194081301924,Tas2r143
Zar1,-0.001806594597016726,Zar1
Map3k2,-0.00159447772205064,Map3k2
Avil,-0.0012128222127397003,Avil
